==28560== NVPROF is profiling process 28560, command: ./b+tree file ../../data/b+tree/mil.txt command ../../data/b+tree/command.txt
==28560== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==28560== Profiling application: ./b+tree file ../../data/b+tree/mil.txt command ../../data/b+tree/command.txt
==28560== Profiling result:
==28560== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 (0)","findK",1,"gst_throughput","Global Store Throughput",4.667245GB/s,4.667245GB/s,4.666857GB/s
"GeForce GTX 1080 (0)","findK",1,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 (0)","findK",1,"tex_cache_hit_rate","Unified Cache Hit Rate",58.334880%,58.334880%,58.334880%
"GeForce GTX 1080 (0)","findK",1,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",83.921906%,83.921906%,83.921906%
"GeForce GTX 1080 (0)","findK",1,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",99.374000%,99.374000%,99.374000%
"GeForce GTX 1080 (0)","findK",1,"tex_cache_throughput","Unified Cache Throughput",382.052591GB/s,382.052591GB/s,382.051803GB/s
"GeForce GTX 1080 (0)","findK",1,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",176.791710GB/s,176.791710GB/s,176.791102GB/s
"GeForce GTX 1080 (0)","findK",1,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",4.667245GB/s,4.667245GB/s,4.666857GB/s
"GeForce GTX 1080 (0)","findK",1,"l2_read_throughput","L2 Throughput (Reads)",176.824568GB/s,176.824568GB/s,176.823698GB/s
"GeForce GTX 1080 (0)","findK",1,"l2_write_throughput","L2 Throughput (Writes)",4.668459GB/s,4.668459GB/s,4.667789GB/s
"GeForce GTX 1080 (0)","findK",1,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 (0)","findK",1,"sysmem_write_throughput","System Memory Write Throughput",489.395508KB/s,489.395508KB/s,0.000000B/s
"GeForce GTX 1080 (0)","findK",1,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 (0)","findK",1,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 (0)","findK",1,"shared_load_throughput","Shared Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 (0)","findK",1,"shared_store_throughput","Shared Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 (0)","findK",1,"gld_efficiency","Global Memory Load Efficiency",62.507795%,62.507795%,62.507795%
"GeForce GTX 1080 (0)","findK",1,"gst_efficiency","Global Memory Store Efficiency",22.500000%,22.500000%,22.500000%
"GeForce GTX 1080 (0)","findK",1,"tex_cache_transactions","Unified Cache Transactions",4092913,4092913,4092913
"GeForce GTX 1080 (0)","findK",1,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"GeForce GTX 1080 (0)","findK",1,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"GeForce GTX 1080 (0)","findK",1,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"GeForce GTX 1080 (0)","findK",1,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"GeForce GTX 1080 (0)","findK",1,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"GeForce GTX 1080 (0)","findK",1,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",0,0,0
"GeForce GTX 1080 (0)","findK",1,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",0,0,0
"GeForce GTX 1080 (0)","findK",1,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",0,0,0
"GeForce GTX 1080 (0)","findK",1,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",0,0,0
"GeForce GTX 1080 (0)","findK",1,"inst_executed","Instructions Executed",11762267,11762267,11762267
"GeForce GTX 1080 (0)","findK",1,"inst_issued","Instructions Issued",11765106,11765106,11765106
"GeForce GTX 1080 (0)","findK",1,"sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"GeForce GTX 1080 (0)","findK",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",2.595507%,2.595507%,2.595507%
"GeForce GTX 1080 (0)","findK",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",5.176218%,5.176218%,5.176218%
"GeForce GTX 1080 (0)","findK",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",46.010675%,46.010675%,46.010675%
"GeForce GTX 1080 (0)","findK",1,"stall_texture","Issue Stall Reasons (Texture)",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 (0)","findK",1,"stall_sync","Issue Stall Reasons (Synchronization)",43.404998%,43.404998%,43.404998%
"GeForce GTX 1080 (0)","findK",1,"stall_other","Issue Stall Reasons (Other)",1.598145%,1.598145%,1.598145%
"GeForce GTX 1080 (0)","findK",1,"stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",0.082530%,0.082530%,0.082530%
"GeForce GTX 1080 (0)","findK",1,"stall_pipe_busy","Issue Stall Reasons (Pipe Busy)",0.274730%,0.274730%,0.274730%
"GeForce GTX 1080 (0)","findK",1,"shared_efficiency","Shared Memory Efficiency",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 (0)","findK",1,"inst_fp_32","FP Instructions(Single)",0,0,0
"GeForce GTX 1080 (0)","findK",1,"inst_fp_64","FP Instructions(Double)",0,0,0
"GeForce GTX 1080 (0)","findK",1,"inst_integer","Integer Instructions",206794865,206794865,206794865
"GeForce GTX 1080 (0)","findK",1,"inst_bit_convert","Bit-Convert Instructions",0,0,0
"GeForce GTX 1080 (0)","findK",1,"inst_control","Control-Flow Instructions",25600000,25600000,25600000
"GeForce GTX 1080 (0)","findK",1,"inst_compute_ld_st","Load/Store Instructions",24120991,24120991,24120991
"GeForce GTX 1080 (0)","findK",1,"inst_misc","Misc Instructions",83881982,83881982,83881982
"GeForce GTX 1080 (0)","findK",1,"inst_inter_thread_communication","Inter-Thread Instructions",0,0,0
"GeForce GTX 1080 (0)","findK",1,"issue_slots","Issue Slots",10065106,10065106,10065106
"GeForce GTX 1080 (0)","findK",1,"cf_issued","Issued Control-Flow Instructions",1049593,1049593,1049593
"GeForce GTX 1080 (0)","findK",1,"cf_executed","Executed Control-Flow Instructions",1049593,1049593,1049593
"GeForce GTX 1080 (0)","findK",1,"ldst_issued","Issued Load/Store Instructions",3622913,3622913,3622913
"GeForce GTX 1080 (0)","findK",1,"ldst_executed","Executed Load/Store Instructions",1369593,1369593,1369593
"GeForce GTX 1080 (0)","findK",1,"atomic_transactions","Atomic Transactions",0,0,0
"GeForce GTX 1080 (0)","findK",1,"atomic_transactions_per_request","Atomic Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 (0)","findK",1,"l2_atomic_throughput","L2 Throughput (Atomic requests)",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 (0)","findK",1,"l2_atomic_transactions","L2 Transactions (Atomic requests)",0,0,0
"GeForce GTX 1080 (0)","findK",1,"l2_tex_read_transactions","L2 Transactions (Texture Reads)",1893962,1893962,1893962
"GeForce GTX 1080 (0)","findK",1,"stall_memory_throttle","Issue Stall Reasons (Memory Throttle)",0.038868%,0.038868%,0.038868%
"GeForce GTX 1080 (0)","findK",1,"stall_not_selected","Issue Stall Reasons (Not Selected)",0.818328%,0.818328%,0.818328%
